"NTD ID","Legacy NTD ID","Agency Name","Reporter Type","Reporting Module","Mode","TOS","Time Period","Time Service Begins","Time Service Ends","Vehicles/Passenger Cars Operated in Maximum Service","Vehicles/Passenger Cars Available for Maximum Service","Trains in Operation","Vehicles/Passenger Cars in Operation","Actual Vehicles/Passenger Car Miles","Actual Vehicles/Passenger Car Revenue Miles","Actual Vehicle/Passenger Deadhead Miles","Scheduled Actual Vehicle/Passenger Car Revenue Miles","Actual Vehicle/Passenger Car Hours","Actual Vehicle/Passenger Car Revenue Hours","Actual Vehicle/Passenger Car Deadhead Hours","Charter Service Hours","School Bus Hours","Train Miles","Train Revenue Miles","Train Deadhead Miles","Train Hours","Train Revenue Hours","Train Deadhead Hours","Unlinked Passenger Trips (UPT)","ADA UPT","Sponsored Service UPT","Passenger Miles","Days of Service Operated","Days Not Operated Due to Strikes","Strike Comment","Days Not Operated Due to Emergencies","Emergency Comment","Non-Statutory Mixed Traffic","DRM Mixed Traffic ROW"
"1","1","King County Department of Metro Transit","Full Reporter","Urban","DR","PT","Average Weekday - AM Peak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","DR","PT","Average Weekday - Midday",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","DR","PT","Average Weekday - PM Peak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","DR","PT","Average Weekday - Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","DR","PT","Average Typical Weekday",1899-12-31 00:00:00,1899-12-31 00:00:00,NA,NA,NA,304,33251,28136,5115,NA,2594,2266,328,NA,NA,NA,NA,NA,NA,NA,NA,2973,NA,NA,30088,255,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","DR","PT","Average Typical Saturday",1899-12-31 00:00:00,1899-12-31 00:00:00,NA,NA,NA,137,14078,11725,2353,NA,1066,924,142,NA,NA,NA,NA,NA,NA,NA,NA,1295,NA,NA,11775,52,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","DR","PT","Average Typical Sunday",1899-12-31 00:00:00,1899-12-31 00:00:00,NA,NA,NA,262,11479,9509,1970,NA,870,750,120,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,9580,58,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","DR","PT","Annual Total",NA,NA,304,413,NA,NA,9876720,8335875,1540845,NA,767474,669349,98125,NA,NA,NA,NA,NA,NA,NA,NA,883312,883312,NA,8840480,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","DT","PT","Average Weekday - AM Peak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","DT","PT","Average Weekday - Midday",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
