"NTD ID","Legacy NTD ID","Agency Name","Reporter Type","Reporting Module","Mode","TOS","Time Period","Time Service Begins","Time Service Ends","Vehicles/Passenger Cars Operated in Maximum Service","Vehicles/Passenger Cars Available for Maximum Service","Trains in Operation","Vehicles/Passenger Cars in Operation","Actual Vehicles/Passenger Car Miles","Actual Vehicles/Passenger Car Revenue Miles","Actual Vehicle/Passenger Deadhead Miles","Scheduled Actual Vehicle/Passenger Car Revenue Miles","Actual Vehicle/Passenger Car Hours","Actual Vehicle/Passenger Car Revenue Hours","Actual Vehicle/Passenger Car Deadhead Hours","Charter Service Hours","School Bus Hours","Train Miles","Train Revenue Miles","Train Deadhead Miles","Train Hours","Train Revenue Hours","Train Deadhead Hours","Unlinked Passenger Trips (UPT)","ADA UPT","Sponsored Service UPT","Passenger Miles","Days of Service Operated","Days Not Operated Due to Strikes","Strike Comment","Days Not Operated Due to Emergencies","Emergency Comment","Non-Statutory Mixed Traffic","DRM Mixed Traffic ROW"
"1","1","King County Department of Metro Transit","Full Reporter","Urban","DT","PT","Average Weekday - PM Peak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","DT","PT","Average Weekday - Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","DT","PT","Average Typical Weekday",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","DT","PT","Average Typical Saturday",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","DT","PT","Average Typical Sunday",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","DT","PT","Annual Total",NA,NA,71,71,NA,NA,NA,1675833,NA,NA,NA,47986,NA,NA,NA,NA,NA,NA,NA,NA,NA,143747,143747,NA,1969214,365,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","FB","DO","Average Weekday - AM Peak",1899-12-31 05:30:00,1899-12-31 09:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","FB","DO","Average Weekday - Midday",1899-12-31 09:15:00,1899-12-31 15:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","FB","DO","Average Weekday - PM Peak",1899-12-31 15:15:00,1899-12-31 19:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","FB","DO","Average Weekday - Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","FB","DO","Average Typical Weekday",1899-12-31 05:30:00,1899-12-31 19:30:00,NA,NA,NA,2,184,184,0,184,17,17,0,NA,NA,NA,NA,NA,NA,NA,NA,2225,NA,NA,12399,251,0,NA,0,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","FB","DO","Average Typical Saturday",1899-12-31 08:30:00,1899-12-31 23:30:00,NA,NA,NA,1,62,62,0,62,15,15,0,NA,NA,NA,NA,NA,NA,NA,NA,1914,NA,NA,3829,31,0,NA,0,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","FB","DO","Average Typical Sunday",1899-12-31 08:30:00,1899-12-31 20:30:00,NA,NA,NA,1,49,49,0,49,12,12,0,NA,NA,NA,NA,NA,NA,NA,NA,1369,NA,NA,2738,34,0,NA,0,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","FB","DO","Annual Total",NA,NA,2,3,NA,NA,49706,49706,0,49772,5112,5112,0,0,NA,NA,NA,NA,NA,NA,NA,664365,NA,NA,3323914,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","MB","DO","Average Weekday - AM Peak",1899-12-31 06:00:00,1899-12-31 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","MB","DO","Average Weekday - Midday",1899-12-31 09:00:00,1899-12-31 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","MB","DO","Average Weekday - PM Peak",1899-12-31 15:00:00,1899-12-31 19:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","MB","DO","Average Weekday - Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","MB","DO","Average Typical Weekday",1899-12-31 00:00:00,1899-12-31 00:00:00,NA,NA,NA,986,139726,107115,32611,105808,11098,9357,1741,NA,NA,NA,NA,NA,NA,NA,NA,332656,NA,NA,1698066,255,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","MB","DO","Average Typical Saturday",1899-12-31 00:00:00,1899-12-31 00:00:00,NA,NA,NA,380,80047,70962,9085,61947,7259,6689,570,NA,NA,NA,NA,NA,NA,NA,NA,194323,NA,NA,734947,52,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","MB","DO","Average Typical Sunday",1899-12-31 00:00:00,1899-12-31 00:00:00,NA,NA,NA,316,65682,58153,7529,51381,5887,5435,452,NA,NA,NA,NA,NA,NA,NA,NA,145606,NA,NA,559936,58,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","MB","DO","Annual Total",NA,NA,986,1317,NA,NA,43602078,33894208,9707870,33182509,3548871,3049172,499699,339,NA,NA,NA,NA,NA,NA,NA,103435175,NA,NA,502807522,NA,NA,NA,NA,NA,NA,1940.1
"1","1","King County Department of Metro Transit","Full Reporter","Urban","MB","PT","Average Weekday - AM Peak",1899-12-31 06:00:00,1899-12-31 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","MB","PT","Average Weekday - Midday",1899-12-31 09:00:00,1899-12-31 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","MB","PT","Average Weekday - PM Peak",1899-12-31 15:00:00,1899-12-31 19:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","MB","PT","Average Weekday - Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","MB","PT","Average Typical Weekday",1899-12-31 04:45:00,1899-12-31 21:41:00,NA,NA,NA,29,4313,3451,862,3665,291,257,34,NA,NA,NA,NA,NA,NA,NA,NA,2854,NA,NA,11269,255,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","MB","PT","Average Typical Saturday",1899-12-31 08:20:00,1899-12-31 21:02:00,NA,NA,NA,13,1562,1297,265,1416,122,111,11,NA,NA,NA,NA,NA,NA,NA,NA,1401,NA,NA,4189,52,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","MB","PT","Average Typical Sunday",1899-12-31 08:40:00,1899-12-31 20:14:00,NA,NA,NA,4,448,355,93,474,33,29,4,NA,NA,NA,NA,NA,NA,NA,NA,446,NA,NA,1378,58,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","MB","PT","Annual Total",NA,NA,29,42,NA,NA,1207058,970734,236324,1035857,82498,74061,8437,NA,NA,NA,NA,NA,NA,NA,NA,826450,NA,NA,3171300,NA,NA,NA,NA,NA,NA,247.3
"1","1","King County Department of Metro Transit","Full Reporter","Urban","SR","DO","Average Weekday - AM Peak",1899-12-31 05:55:00,1899-12-31 09:57:00,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","SR","DO","Average Weekday - Midday",1899-12-31 09:57:00,1899-12-31 14:55:00,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","SR","DO","Average Weekday - PM Peak",1899-12-31 14:55:00,1899-12-31 19:23:00,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","SR","DO","Average Weekday - Other",NA,NA,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","SR","DO","Average Typical Weekday",1899-12-31 04:32:00,1899-12-31 00:00:00,NA,NA,10,10,651,639,12,683,137,133,4,NA,NA,651,639,12,137,133,4,5531,NA,NA,5946,254,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","SR","DO","Average Typical Saturday",1899-12-31 04:32:00,1899-12-31 00:00:00,NA,NA,6,6,591,582,9,598,118,115,3,NA,NA,591,582,9,118,115,3,3347,NA,NA,4092,52,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","SR","DO","Average Typical Sunday",1899-12-31 09:27:00,1899-12-31 22:57:00,NA,NA,5,5,272,265,7,264,53,51,2,NA,NA,272,265,7,53,51,2,1914,NA,NA,2292,59,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","SR","DO","Annual Total",NA,NA,10,10,NA,NA,211570,207850,3720,219650,43833,42576,1257,NA,NA,211570,207850,3720,43833,42576,1257,1685668,NA,NA,1856308,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","TB","DO","Average Weekday - AM Peak",1899-12-31 06:00:00,1899-12-31 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","TB","DO","Average Weekday - Midday",1899-12-31 09:00:00,1899-12-31 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","TB","DO","Average Weekday - PM Peak",1899-12-31 15:00:00,1899-12-31 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","TB","DO","Average Weekday - Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","TB","DO","Average Typical Weekday",1899-12-31 00:00:00,1899-12-31 00:00:00,NA,NA,NA,140,12431,11671,760,11742,1859,1756,103,NA,NA,NA,NA,NA,NA,NA,NA,69536,NA,NA,132865,255,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","TB","DO","Average Typical Saturday",1899-12-31 00:00:00,1899-12-31 00:00:00,NA,NA,NA,82,545,522,23,9761,73,70,3,NA,NA,NA,NA,NA,NA,NA,NA,2069,NA,NA,4371,52,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","TB","DO","Average Typical Sunday",1899-12-31 00:00:00,1899-12-31 00:00:00,NA,NA,NA,66,1263,1210,53,8089,169,162,7,NA,NA,NA,NA,NA,NA,NA,NA,1922,NA,NA,4476,58,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","TB","DO","Annual Total",NA,NA,140,174,NA,NA,3271438,3086246,185192,3970891,487585,462179,25406,NA,NA,NA,NA,NA,NA,NA,NA,17950742,NA,NA,34367474,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","VP","DO","Average Weekday - AM Peak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","VP","DO","Average Weekday - Midday",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","VP","DO","Average Weekday - PM Peak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","VP","DO","Average Weekday - Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","VP","DO","Average Typical Weekday",NA,NA,NA,NA,NA,1563,58623,58623,0,NA,2256,2256,0,NA,NA,NA,NA,NA,NA,NA,NA,13502,NA,NA,255697,255,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","VP","DO","Average Typical Saturday",NA,NA,NA,NA,NA,34,993,993,0,NA,38,38,0,NA,NA,NA,NA,NA,NA,NA,NA,229,NA,NA,4858,52,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","VP","DO","Average Typical Sunday",NA,NA,NA,NA,NA,23,744,744,0,NA,29,29,0,NA,NA,NA,NA,NA,NA,NA,NA,171,NA,NA,1800,58,NA,NA,NA,NA,NA,NA
"1","1","King County Department of Metro Transit","Full Reporter","Urban","VP","DO","Annual Total",NA,NA,1608,1841,NA,NA,15043713,15043713,0,NA,579024,579024,0,NA,NA,NA,NA,NA,NA,NA,NA,3464738,NA,NA,65559773,NA,NA,NA,NA,NA,NA,NA
"2","2","Spokane Transit Authority","Full Reporter","Urban","DR","DO","Average Weekday - AM Peak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2","Spokane Transit Authority","Full Reporter","Urban","DR","DO","Average Weekday - Midday",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2","Spokane Transit Authority","Full Reporter","Urban","DR","DO","Average Weekday - PM Peak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2","Spokane Transit Authority","Full Reporter","Urban","DR","DO","Average Weekday - Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2","Spokane Transit Authority","Full Reporter","Urban","DR","DO","Average Typical Weekday",1899-12-31 04:55:00,1899-12-31 00:35:00,NA,NA,NA,53,5525,5067,458,NA,371,346,25,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,8391,254,NA,NA,NA,NA,NA,NA
"2","2","Spokane Transit Authority","Full Reporter","Urban","DR","DO","Average Typical Saturday",1899-12-31 05:25:00,1899-12-31 00:35:00,NA,NA,NA,7,344,306,38,NA,22,20,2,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,392,8,NA,NA,NA,NA,NA,NA
"2","2","Spokane Transit Authority","Full Reporter","Urban","DR","DO","Average Typical Sunday",1899-12-31 07:05:00,1899-12-31 21:15:00,NA,NA,NA,9,427,379,48,NA,28,25,3,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,461,11,NA,NA,NA,NA,NA,NA
"2","2","Spokane Transit Authority","Full Reporter","Urban","DR","DO","Annual Total",NA,NA,57,76,NA,NA,1411054,1293811,117243,NA,94585,88386,6199,NA,NA,NA,NA,NA,NA,NA,NA,255092,255092,NA,2139425,NA,NA,NA,NA,NA,NA,NA
"2","2","Spokane Transit Authority","Full Reporter","Urban","DR","PT","Average Weekday - AM Peak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2","Spokane Transit Authority","Full Reporter","Urban","DR","PT","Average Weekday - Midday",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2","Spokane Transit Authority","Full Reporter","Urban","DR","PT","Average Weekday - PM Peak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2","Spokane Transit Authority","Full Reporter","Urban","DR","PT","Average Weekday - Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2","Spokane Transit Authority","Full Reporter","Urban","DR","PT","Average Typical Weekday",1899-12-31 04:55:00,1899-12-31 00:23:00,NA,NA,NA,42,3495,3215,280,NA,235,209,26,NA,NA,NA,NA,NA,NA,NA,NA,640,NA,NA,6285,254,NA,NA,NA,NA,NA,NA
"2","2","Spokane Transit Authority","Full Reporter","Urban","DR","PT","Average Typical Saturday",1899-12-31 05:25:00,1899-12-31 00:35:00,NA,NA,NA,34,3884,3468,416,NA,246,227,19,NA,NA,NA,NA,NA,NA,NA,NA,543,NA,NA,4541,52,NA,NA,NA,NA,NA,NA
"2","2","Spokane Transit Authority","Full Reporter","Urban","DR","PT","Average Typical Sunday",1899-12-31 07:05:00,1899-12-31 21:15:00,NA,NA,NA,36,3632,3189,443,NA,216,197,19,NA,NA,NA,NA,NA,NA,NA,NA,497,NA,NA,4698,59,NA,NA,NA,NA,NA,NA
"2","2","Spokane Transit Authority","Full Reporter","Urban","DR","PT","Annual Total",NA,NA,51,62,NA,NA,1303769,1184977,118792,NA,85395,76514,8881,NA,NA,NA,NA,NA,NA,NA,NA,220234,220234,NA,2103052,NA,NA,NA,NA,NA,NA,NA
"2","2","Spokane Transit Authority","Full Reporter","Urban","MB","DO","Average Weekday - AM Peak",1899-12-31 04:30:00,1899-12-31 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2","Spokane Transit Authority","Full Reporter","Urban","MB","DO","Average Weekday - Midday",1899-12-31 09:00:00,1899-12-31 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2","Spokane Transit Authority","Full Reporter","Urban","MB","DO","Average Weekday - PM Peak",1899-12-31 15:00:00,1899-12-31 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2","Spokane Transit Authority","Full Reporter","Urban","MB","DO","Average Weekday - Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2","Spokane Transit Authority","Full Reporter","Urban","MB","DO","Average Typical Weekday",1899-12-31 04:30:00,1899-12-31 00:40:00,NA,NA,NA,111,21240,19538,1702,19547,1501,1420,81,NA,NA,NA,NA,NA,NA,NA,NA,34078,NA,NA,141083,254,NA,NA,NA,NA,NA,NA
"2","2","Spokane Transit Authority","Full Reporter","Urban","MB","DO","Average Typical Saturday",1899-12-31 04:50:00,1899-12-31 00:40:00,NA,NA,NA,51,10709,10001,708,10002,787,756,31,NA,NA,NA,NA,NA,NA,NA,NA,15411,NA,NA,63031,52,NA,NA,NA,NA,NA,NA
"2","2","Spokane Transit Authority","Full Reporter","Urban","MB","DO","Average Typical Sunday",1899-12-31 06:50:00,1899-12-31 20:30:00,NA,NA,NA,40,6884,6232,652,6232,489,462,27,NA,NA,NA,NA,NA,NA,NA,NA,8522,NA,NA,32895,59,NA,NA,NA,NA,NA,NA
